,,,,,,,,
 Region , Year ,Quarter,"Not Seasonally-Adjusted
Purchase-Only Index 
(1991Q1=100)","Seasonally-Adjusted Purchase-Only Index 
(1991Q1=100)","Not Seasonally-Adjusted
Purchase-Only Index
% Change Over 
Previous Quarter","Seasonally-Adjusted Purchase-Only Index
% Change Over 
Previous Quarter","Not Seasonally-Adjusted
Purchase-Only Index
% Change Over 
Previous 4 Quarters","Seasonally-Adjusted Purchase-Only Index
% Change Over 
Previous 4 Quarters"
 USA ,1991 ,1 ,100.00 ,100.00 ,,,,
 USA ,1991 ,2 ,100.51 ,100.00 ,0.51%,0.00%,,
 USA ,1991 ,3 ,100.79 ,100.18 ,0.28%,0.17%,,
 USA ,1991 ,4 ,101.46 ,101.07 ,0.66%,0.89%,,
 USA ,1992 ,1 ,102.26 ,102.28 ,0.79%,1.20%,2.26%,2.28%
 USA ,1992 ,2 ,102.67 ,102.15 ,0.40%,-0.13%,2.15%,2.14%
 USA ,1992 ,3 ,103.69 ,103.03 ,0.99%,0.87%,2.88%,2.85%
 USA ,1992 ,4 ,104.23 ,103.85 ,0.51%,0.79%,2.73%,2.75%
 USA ,1993 ,1 ,103.84 ,103.88 ,-0.37%,0.04%,1.55%,1.57%
 USA ,1993 ,2 ,105.49 ,104.93 ,1.59%,1.01%,2.74%,2.73%
 USA ,1993 ,3 ,106.44 ,105.70 ,0.90%,0.74%,2.64%,2.59%
 USA ,1993 ,4 ,107.07 ,106.73 ,0.59%,0.97%,2.73%,2.77%
 USA ,1994 ,1 ,107.62 ,107.69 ,0.52%,0.90%,3.64%,3.67%
 USA ,1994 ,2 ,109.20 ,108.59 ,1.47%,0.83%,3.52%,3.49%
 USA ,1994 ,3 ,110.07 ,109.26 ,0.80%,0.62%,3.42%,3.37%
 USA ,1994 ,4 ,110.10 ,109.82 ,0.02%,0.51%,2.83%,2.89%
 USA ,1995 ,1 ,110.43 ,110.52 ,0.30%,0.64%,2.61%,2.62%
 USA ,1995 ,2 ,111.79 ,111.12 ,1.24%,0.54%,2.37%,2.33%
 USA ,1995 ,3 ,113.04 ,112.16 ,1.12%,0.94%,2.70%,2.66%
 USA ,1995 ,4 ,113.04 ,112.81 ,-0.01%,0.58%,2.67%,2.73%
 USA ,1996 ,1 ,113.72 ,113.82 ,0.60%,0.90%,2.98%,2.99%
 USA ,1996 ,2 ,115.35 ,114.60 ,1.43%,0.68%,3.18%,3.13%
 USA ,1996 ,3 ,116.29 ,115.37 ,0.81%,0.67%,2.87%,2.85%
 USA ,1996 ,4 ,116.18 ,116.00 ,-0.09%,0.55%,2.78%,2.83%
 USA ,1997 ,1 ,116.62 ,116.72 ,0.37%,0.62%,2.55%,2.55%
 USA ,1997 ,2 ,118.53 ,117.72 ,1.64%,0.85%,2.76%,2.72%
 USA ,1997 ,3 ,119.54 ,118.59 ,0.85%,0.74%,2.80%,2.79%
 USA ,1997 ,4 ,120.01 ,119.86 ,0.40%,1.07%,3.30%,3.32%
 USA ,1998 ,1 ,121.22 ,121.34 ,1.01%,1.23%,3.95%,3.95%
 USA ,1998 ,2 ,123.93 ,123.04 ,2.23%,1.41%,4.55%,4.52%
 USA ,1998 ,3 ,125.65 ,124.65 ,1.39%,1.31%,5.12%,5.12%
 USA ,1998 ,4 ,126.85 ,126.70 ,0.95%,1.64%,5.70%,5.71%
 USA ,1999 ,1 ,128.43 ,128.56 ,1.25%,1.46%,5.95%,5.95%
 USA ,1999 ,2 ,131.42 ,130.47 ,2.33%,1.49%,6.05%,6.03%
 USA ,1999 ,3 ,133.57 ,132.50 ,1.63%,1.56%,6.30%,6.29%
 USA ,1999 ,4 ,134.68 ,134.52 ,0.83%,1.52%,6.17%,6.17%
 USA ,2000 ,1 ,136.73 ,136.88 ,1.53%,1.76%,6.46%,6.47%
 USA ,2000 ,2 ,140.19 ,139.18 ,2.53%,1.68%,6.67%,6.67%
 USA ,2000 ,3 ,142.58 ,141.41 ,1.70%,1.60%,6.74%,6.72%
